Method,min lambda,min jtlide_lambda,dataset,size,trial
nx,-0.002873,-0.25714,1,500,1
nx,-0.00089042,-0.25195,2,500,1
nx,-0.0029656,-0.20551,3,500,1
nx,-0.0019056,-0.21672,4,500,1
nx,-0.0084592,-0.2265,5,500,1
nx,-0.00085765,-0.2503,6,500,1
nx,-0.0022313,-0.23663,7,500,1
nx,-0.00033405,-0.24234,8,500,1
nx,-0.0040506,-0.21743,9,500,1
nx,-0.0042499,-0.23861,10,500,1
nx,-0.00044632,-0.23039,1,500,2
nx,-0.0028002,-0.21616,2,500,2
nx,-0.0031308,-0.23029,3,500,2
nx,-0.001312,-0.25799,4,500,2
nx,-0.0040561,-0.25615,5,500,2
nx,-0.0050347,-0.17404,6,500,2
nx,-0.0022922,-0.25326,7,500,2
nx,-0.0034054,-0.19675,8,500,2
nx,-0.0068651,-0.21836,9,500,2
nx,-0.00046709,-0.25361,10,500,2
nx,-0.002674,-0.19475,1,500,3
nx,-0.0036714,-0.20187,2,500,3
nx,-0.00036404,-0.20023,3,500,3
nx,-0.0056344,-0.21802,4,500,3
nx,-0.0089415,-0.23943,5,500,3
nx,-0.0003813,-0.25723,6,500,3
nx,-0.0037002,-0.28143,7,500,3
nx,-0.0010425,-0.21128,8,500,3
nx,-0.0036162,-0.20335,9,500,3
nx,-0.0013189,-0.2558,10,500,3
nx,-0.0011671,-0.24575,1,500,4
nx,-0.0030714,-0.23385,2,500,4
nx,-0.0005699,-0.21134,3,500,4
nx,-0.0010169,-0.2144,4,500,4
nx,-0.0017698,-0.29047,5,500,4
nx,-0.0057453,-0.24633,6,500,4
nx,-0.00028322,-0.34709,7,500,4
nx,-0.00032607,-0.27178,8,500,4
nx,-0.0010377,-0.25147,9,500,4
nx,-0.0027274,-0.29407,10,500,4
nx,-0.0036559,-0.21982,1,500,5
nx,-0.0045465,-0.21121,2,500,5
nx,-0.0015995,-0.22234,3,500,5
nx,-0.0065463,-0.18997,4,500,5
nx,-0.010285,-0.23648,5,500,5
nx,-0.0012778,-0.26804,6,500,5
nx,-0.0014186,-0.20636,7,500,5
nx,-0.0029321,-0.32715,8,500,5
nx,-0.00015706,-0.24014,9,500,5
nx,-0.0072608,-0.20606,10,500,5
nx,-0.0015155,-0.22233,1,500,6
nx,-0.0028952,-0.24792,2,500,6
nx,-0.0049606,-0.22706,3,500,6
nx,-0.0029213,-0.23758,4,500,6
nx,-0.00090181,-0.22012,5,500,6
nx,-0.0028864,-0.24195,6,500,6
nx,-0.0030732,-0.2623,7,500,6
nx,-0.0027506,-0.25558,8,500,6
nx,-0.001372,-0.26171,9,500,6
nx,-0.0060456,-0.26149,10,500,6
nx,-0.0046706,-0.21766,1,500,7
nx,-0.00029244,-0.28412,2,500,7
nx,-0.0018157,-0.21283,3,500,7
nx,-0.0078632,-0.21227,4,500,7
nx,-0.00020198,-0.23888,5,500,7
nx,-0.0007003,-0.28787,6,500,7
nx,-0.0021898,-0.25371,7,500,7
nx,-0.0017509,-0.21933,8,500,7
nx,-0.00061109,-0.25075,9,500,7
nx,-0.0052862,-0.24334,10,500,7
nx,-0.00058515,-0.21546,1,500,8
nx,-0.0031631,-0.19613,2,500,8
nx,-0.00012603,-0.23755,3,500,8
nx,-0.0042153,-0.26682,4,500,8
nx,-0.00026297,-0.33397,5,500,8
nx,-0.0012724,-0.26698,6,500,8
nx,-0.0044861,-0.26991,7,500,8
nx,-0.0042141,-0.31274,8,500,8
nx,-0.0023873,-0.23145,9,500,8
nx,-0.0011989,-0.1922,10,500,8
nx,-0.0013245,-0.2425,1,500,9
nx,-0.0020563,-0.23875,2,500,9
nx,-0.0014551,-0.27651,3,500,9
nx,-0.0020087,-0.21797,4,500,9
nx,-1.3095E-05,-0.24257,5,500,9
nx,-1.3262E-06,-0.38317,6,500,9
nx,-0.0022061,-0.27803,7,500,9
nx,-0.0028694,-0.25001,8,500,9
nx,-0.0040749,-0.24009,9,500,9
nx,-4.4038E-05,-0.24286,10,500,9
nx,-0.0034065,-0.21185,1,500,10
nx,-0.00086571,-0.21881,2,500,10
nx,-0.0029636,-0.21199,3,500,10
nx,-0.0012004,-0.19954,4,500,10
nx,-0.003634,-0.21986,5,500,10
nx,-0.0040958,-0.2594,6,500,10
nx,-0.00021454,-0.24682,7,500,10
nx,-0.0024015,-0.23536,8,500,10
nx,-0.0048495,-0.24033,9,500,10
nx,-0.0030766,-0.21564,10,500,10
nx,-0.0013449,-0.3016,1,750,1
nx,-0.0028647,-0.23392,2,750,1
nx,-0.0026069,-0.21892,3,750,1
nx,-0.00025551,-0.23234,4,750,1
nx,-0.0017982,-0.20089,5,750,1
nx,-0.0014909,-0.3493,6,750,1
nx,-0.0010389,-0.25594,7,750,1
nx,-0.0011798,-0.22474,8,750,1
nx,-0.001944,-0.30447,9,750,1
nx,-0.0032085,-0.25635,10,750,1
nx,-5.6102E-05,-0.27544,1,750,2
nx,-0.0033382,-0.2229,2,750,2
nx,-0.0016584,-0.20507,3,750,2
nx,-0.000849,-0.26169,4,750,2
nx,-0.00088501,-0.2622,5,750,2
nx,-4.9657E-05,-0.28371,6,750,2
nx,-0.00032963,-0.25015,7,750,2
nx,-0.00021362,-0.21317,8,750,2
nx,-0.00087704,-0.37883,9,750,2
nx,-0.00062105,-0.25516,10,750,2
nx,-0.0007999,-0.2107,1,750,3
nx,-0.00061701,-0.24161,2,750,3
nx,-0.0015583,-0.28517,3,750,3
nx,-0.0019918,-0.27952,4,750,3
nx,-0.00019381,-0.183,5,750,3
nx,-0.0021828,-0.29606,6,750,3
nx,-0.0010294,-0.26925,7,750,3
nx,-0.0016527,-0.2623,8,750,3
nx,-0.0013959,-0.2928,9,750,3
nx,-0.0008915,-0.25495,10,750,3
nx,-0.0021815,-0.22753,1,750,4
nx,-0.0017591,-0.22902,2,750,4
nx,-0.00061055,-0.37348,3,750,4
nx,-0.0012448,-0.28683,4,750,4
nx,-0.0034834,-0.19414,5,750,4
nx,-0.00081998,-0.28186,6,750,4
nx,-0.00084034,-0.24165,7,750,4
nx,-0.0013495,-0.29674,8,750,4
nx,-0.00094006,-0.24966,9,750,4
nx,-0.002819,-0.27539,10,750,4
nx,-0.0024907,-0.23031,1,750,5
nx,-0.0010033,-0.21223,2,750,5
nx,-0.0022822,-0.25989,3,750,5
nx,-0.0024538,-0.25563,4,750,5
nx,-1.7407E-05,-0.22233,5,750,5
nx,-0.0023003,-0.31262,6,750,5
nx,-0.0025069,-0.20795,7,750,5
nx,-0.0030223,-0.20941,8,750,5
nx,-0.0023058,-0.30195,9,750,5
nx,-0.00017524,-0.3068,10,750,5
nx,-0.0038511,-0.26961,1,750,6
nx,-0.00045593,-0.20822,2,750,6
nx,-0.0034305,-0.521,3,750,6
nx,-0.0011509,-0.19817,4,750,6
nx,-0.0025897,-0.28555,5,750,6
nx,-0.00093112,-0.2927,6,750,6
nx,-0.0012627,-0.25425,7,750,6
nx,-0.00020894,-0.29515,8,750,6
nx,-0.0017594,-0.33892,9,750,6
nx,-0.0025783,-0.23661,10,750,6
nx,-0.00067447,-0.23618,1,750,7
nx,-0.001256,-0.2078,2,750,7
nx,-0.0008917,-0.2181,3,750,7
nx,-0.00168,-0.20721,4,750,7
nx,-0.0014062,-0.21431,5,750,7
nx,-0.0026679,-0.28206,6,750,7
nx,-0.0029855,-0.23012,7,750,7
nx,-0.0021951,-0.31035,8,750,7
nx,-0.0014745,-0.23775,9,750,7
nx,-0.0023052,-0.26817,10,750,7
nx,-8.8209E-05,-0.22968,1,750,8
nx,-0.00174,-0.20732,2,750,8
nx,-0.00019799,-0.21942,3,750,8
nx,-0.00090004,-0.29525,4,750,8
nx,-0.003118,-0.24529,5,750,8
nx,-0.0015151,-0.29528,6,750,8
nx,-0.00048989,-0.19969,7,750,8
nx,-0.003548,-0.21341,8,750,8
nx,-0.0026981,-0.29978,9,750,8
nx,-0.0039845,-0.22597,10,750,8
nx,-0.00060874,-0.25654,1,750,9
nx,-0.00074004,-0.24826,2,750,9
nx,-0.0015782,-0.23021,3,750,9
nx,-0.00081762,-0.24608,4,750,9
nx,-0.00022657,-0.24894,5,750,9
nx,-0.0001827,-0.31118,6,750,9
nx,-0.00045557,-0.29845,7,750,9
nx,-0.0016762,-0.27482,8,750,9
nx,-0.0020765,-0.21576,9,750,9
nx,-0.0020859,-0.28422,10,750,9
nx,-0.0016237,-0.27428,1,750,10
nx,-0.00086403,-0.24195,2,750,10
nx,-0.0023644,-0.21021,3,750,10
nx,-0.0028523,-0.34248,4,750,10
nx,-0.00023274,-0.27595,5,750,10
nx,-0.00048849,-0.24112,6,750,10
nx,-0.001157,-0.25303,7,750,10
nx,-0.00019925,-0.35303,8,750,10
nx,-0.0014025,-0.21665,9,750,10
nx,-0.00011671,-0.21929,10,750,10
nx,-0.0013288,-0.24902,1,1000,1
nx,-0.00049403,-0.23153,2,1000,1
nx,-0.00039985,-0.24925,3,1000,1
nx,-0.0019483,-0.24913,4,1000,1
nx,-0.0019157,-0.25365,5,1000,1
nx,-0.0013084,-0.20158,6,1000,1
nx,-0.00064507,-0.26057,7,1000,1
nx,-0.00094221,-0.2504,8,1000,1
nx,-0.0018117,-0.2767,9,1000,1
nx,-0.00071882,-0.25725,10,1000,1
nx,-0.000705,-0.2626,1,1000,2
nx,-0.0016377,-0.26764,2,1000,2
nx,-0.0018307,-0.23205,3,1000,2
nx,-0.0007659,-0.20857,4,1000,2
nx,-0.00079037,-0.29771,5,1000,2
nx,-0.00054167,-0.25061,6,1000,2
nx,-0.00057301,-0.23149,7,1000,2
nx,-0.00038594,-0.29631,8,1000,2
nx,-0.0018358,-0.24592,9,1000,2
nx,-0.00029496,-0.26268,10,1000,2
nx,-0.0017771,-0.27306,1,1000,3
nx,-0.0020377,-0.24876,2,1000,3
nx,-0.0011895,-0.24469,3,1000,3
nx,-0.00109,-0.23194,4,1000,3
nx,-0.00067988,-0.22341,5,1000,3
nx,-0.0013169,-0.2497,6,1000,3
nx,-0.0017244,-0.21649,7,1000,3
nx,-0.0016187,-0.42553,8,1000,3
nx,-0.0012068,-0.25806,9,1000,3
nx,-0.0013879,-0.25396,10,1000,3
nx,-0.0013247,-0.21257,1,1000,4
nx,-0.00047401,-0.24151,2,1000,4
nx,-0.0014533,-0.22718,3,1000,4
nx,-0.002015,-0.24737,4,1000,4
nx,-0.0015832,-0.23029,5,1000,4
nx,-0.0015331,-0.23169,6,1000,4
nx,-0.00068948,-0.23958,7,1000,4
nx,-0.00097872,-0.23273,8,1000,4
nx,-0.0022804,-0.24942,9,1000,4
nx,-0.00032563,-0.25939,10,1000,4
nx,-0.000916,-0.2751,1,1000,5
nx,-0.0004844,-0.24307,2,1000,5
nx,-0.00080538,-0.35717,3,1000,5
nx,-0.00097329,-0.24413,4,1000,5
nx,-8.1552E-05,-0.22413,5,1000,5
nx,-0.0018839,-0.32401,6,1000,5
nx,-0.00023764,-0.26671,7,1000,5
nx,-0.00081227,-0.23051,8,1000,5
nx,-0.0014044,-0.35106,9,1000,5
nx,-0.00062377,-0.26143,10,1000,5
nx,-0.0025705,-0.25255,1,1000,6
nx,-0.0015603,-0.22494,2,1000,6
nx,-0.0020398,-0.22543,3,1000,6
nx,-0.001715,-0.24078,4,1000,6
nx,-0.0018234,-0.24238,5,1000,6
nx,-0.00072958,-0.3149,6,1000,6
nx,-0.0013593,-0.28356,7,1000,6
nx,-0.00068493,-0.29152,8,1000,6
nx,-0.00043747,-0.25654,9,1000,6
nx,-0.00015625,-0.2638,10,1000,6
nx,-0.00062659,-0.2421,1,1000,7
nx,-0.00076407,-0.27437,2,1000,7
nx,-0.0017615,-0.30374,3,1000,7
nx,-0.00035886,-0.22034,4,1000,7
nx,-0.00047365,-0.20745,5,1000,7
nx,-0.0011078,-0.28902,6,1000,7
nx,-0.0013811,-0.26407,7,1000,7
nx,-0.0024733,-0.23843,8,1000,7
nx,-0.0008083,-0.33516,9,1000,7
nx,-0.00073843,-0.26248,10,1000,7
nx,-0.0012406,-0.22966,1,1000,8
nx,-0.0013853,-0.18882,2,1000,8
nx,-0.0020354,-0.24326,3,1000,8
nx,-2.9437E-05,-0.23562,4,1000,8
nx,-0.0001582,-0.23124,5,1000,8
nx,-0.0010954,-0.33485,6,1000,8
nx,-0.0020041,-0.23632,7,1000,8
nx,-0.00016758,-0.25891,8,1000,8
nx,-0.0012256,-0.29128,9,1000,8
nx,-0.0018168,-0.28319,10,1000,8
nx,-4.9542E-06,-0.21889,1,1000,9
nx,-0.00086469,-0.25981,2,1000,9
nx,-0.00014849,-0.19347,3,1000,9
nx,-0.00088495,-0.21039,4,1000,9
nx,-0.0010276,-0.25909,5,1000,9
nx,-0.00074295,-0.2267,6,1000,9
nx,-0.00088146,-0.23874,7,1000,9
nx,-0.0011192,-0.26818,8,1000,9
nx,-0.00091679,-0.30664,9,1000,9
nx,-0.00075871,-0.23075,10,1000,9
nx,-0.00038079,-0.25392,1,1000,10
nx,-0.0024053,-0.35341,2,1000,10
nx,-0.0029014,-0.22835,3,1000,10
nx,-0.00080349,-0.26864,4,1000,10
nx,-0.0013107,-0.24191,5,1000,10
nx,-0.0021309,-0.25963,6,1000,10
nx,-0.001,-0.27382,7,1000,10
nx,-0.0021421,-0.27746,8,1000,10
nx,-0.0015796,-0.24221,9,1000,10
nx,-0.0034697,-0.28011,10,1000,10
nx,-0.0013304,-0.43037,1,1500,1
nx,-0.00013178,-0.20334,2,1500,1
nx,-0.001008,-0.22786,3,1500,1
nx,-0.0013194,-0.23154,4,1500,1
nx,-0.001336,-0.26887,5,1500,1
nx,-0.00045876,-0.27113,6,1500,1
nx,-3.1356E-05,-0.25553,7,1500,1
nx,-8.8264E-05,-0.29079,8,1500,1
nx,-0.00081513,-0.22726,9,1500,1
nx,-0.00028665,-0.26097,10,1500,1
nx,-0.00028742,-0.22294,1,1500,2
nx,-0.00050418,-0.31494,2,1500,2
nx,-0.0012803,-0.26405,3,1500,2
nx,-0.00086296,-0.25214,4,1500,2
nx,-0.00056348,-0.21709,5,1500,2
nx,-0.00048791,-0.2714,6,1500,2
nx,-0.00067692,-0.23864,7,1500,2
nx,-0.00075545,-0.21301,8,1500,2
nx,-1.4199E-05,-0.37115,9,1500,2
nx,-0.0017214,-0.23619,10,1500,2
nx,-0.0027997,-0.24323,1,1500,3
nx,-0.00017417,-0.25742,2,1500,3
nx,-0.0012845,-0.30993,3,1500,3
nx,-0.00020079,-0.26987,4,1500,3
nx,-1.585E-05,-0.20042,5,1500,3
nx,-0.0013318,-0.209,6,1500,3
nx,-0.001628,-0.23652,7,1500,3
nx,-0.00071807,-0.26634,8,1500,3
nx,-0.00022886,-0.24022,9,1500,3
nx,-0.001151,-0.24474,10,1500,3
nx,-0.00099082,-0.24936,1,1500,4
nx,-0.00057252,-0.22493,2,1500,4
nx,-0.00010593,-0.25503,3,1500,4
nx,-0.00072982,-0.24656,4,1500,4
nx,-0.00046883,-0.24112,5,1500,4
nx,-0.0016436,-0.23005,6,1500,4
nx,-0.00051729,-0.27041,7,1500,4
nx,-0.00052456,-0.21547,8,1500,4
nx,-0.00096531,-0.27495,9,1500,4
nx,-0.00058724,-0.2553,10,1500,4
nx,-0.00040983,-0.22585,1,1500,5
nx,-0.00039024,-0.21679,2,1500,5
nx,-6.8465E-06,-0.35783,3,1500,5
nx,-0.00026043,-0.26938,4,1500,5
nx,-0.00011143,-0.22696,5,1500,5
nx,-0.0017086,-0.23955,6,1500,5
nx,-0.00020909,-0.25209,7,1500,5
nx,-0.00065512,-0.24203,8,1500,5
nx,-0.00041615,-0.26713,9,1500,5
nx,-0.0012171,-0.24808,10,1500,5
nx,-0.0009535,-0.30204,1,1500,6
nx,-0.00061917,-0.22984,2,1500,6
nx,-0.00021511,-0.23979,3,1500,6
nx,-0.00070552,-0.3222,4,1500,6
nx,-0.0001844,-0.22203,5,1500,6
nx,-5.8332E-05,-0.25235,6,1500,6
nx,-0.00093106,-0.29228,7,1500,6
nx,-0.00029581,-0.24453,8,1500,6
nx,-0.0011772,-0.24448,9,1500,6
nx,-0.00055977,-0.24243,10,1500,6
nx,-0.00028642,-0.22809,1,1500,7
nx,-0.0010402,-0.26563,2,1500,7
nx,-0.0002904,-0.27064,3,1500,7
nx,-0.00098115,-0.28599,4,1500,7
nx,-0.0014365,-0.23577,5,1500,7
nx,-0.00071501,-0.24128,6,1500,7
nx,-0.000109,-0.24111,7,1500,7
nx,-0.00070075,-0.28893,8,1500,7
nx,-0.0014023,-0.21471,9,1500,7
nx,-0.0015235,-0.29386,10,1500,7
nx,-0.0017598,-0.35896,1,1500,8
nx,-0.0011891,-0.24147,2,1500,8
nx,-7.3751E-05,-0.2279,3,1500,8
nx,-0.00092901,-0.31181,4,1500,8
nx,-0.0016116,-0.23783,5,1500,8
nx,-0.00070748,-0.24745,6,1500,8
nx,-0.0014777,-0.21433,7,1500,8
nx,-0.0013498,-0.2331,8,1500,8
nx,-0.0010023,-0.25315,9,1500,8
nx,-0.00017724,-0.32806,10,1500,8
nx,-0.00068263,-0.28566,1,1500,9
nx,-0.00060887,-0.24649,2,1500,9
nx,-0.0014288,-0.32921,3,1500,9
nx,-0.00094333,-0.24726,4,1500,9
nx,-0.0015273,-0.22416,5,1500,9
nx,-0.0014655,-0.28133,6,1500,9
nx,-0.0017441,-0.27849,7,1500,9
nx,-0.00056996,-0.25159,8,1500,9
nx,-0.0009181,-0.23524,9,1500,9
nx,-0.00087748,-0.22893,10,1500,9
nx,-0.00069922,-0.24456,1,1500,10
nx,-0.00018274,-0.22775,2,1500,10
nx,-0.00085274,-0.27913,3,1500,10
nx,-3.5784E-05,-0.28077,4,1500,10
nx,-0.00125,-0.21526,5,1500,10
nx,-0.00027353,-0.21597,6,1500,10
nx,-0.0003574,-0.21864,7,1500,10
nx,-7.0223E-05,-0.2976,8,1500,10
nx,-0.00080184,-0.29404,9,1500,10
nx,-6.3982E-05,-0.29991,10,1500,10
FFL,-0.00074235,-0.23021,1,500,1
FFL,-0.0040499,-0.228,2,500,1
FFL,-0.0040696,-0.24675,3,500,1
FFL,-0.0026106,-0.27943,4,500,1
FFL,-0.004673,-0.2276,5,500,1
FFL,-0.00083124,-0.21183,6,500,1
FFL,-0.00040993,-0.21511,7,500,1
FFL,-0.0031589,-0.21311,8,500,1
FFL,-0.0042476,-0.2466,9,500,1
FFL,-0.0020148,-0.26932,10,500,1
FFL,-0.00070403,-0.35625,1,500,2
FFL,-0.0069,-0.23629,2,500,2
FFL,-0.0009521,-0.22697,3,500,2
FFL,-0.0043263,-0.17018,4,500,2
FFL,-0.0031183,-0.23886,5,500,2
FFL,-0.0019122,-0.24479,6,500,2
FFL,-0.0026533,-0.27306,7,500,2
FFL,-0.0043657,-0.1692,8,500,2
FFL,-0.0016135,-0.15682,9,500,2
FFL,-0.0029669,-0.34099,10,500,2
FFL,-0.0015721,-0.18124,1,500,3
FFL,-0.00080629,-0.24117,2,500,3
FFL,-0.00070316,-0.20235,3,500,3
FFL,-0.0023378,-0.32876,4,500,3
FFL,-3.6624E-05,-0.20648,5,500,3
FFL,-0.0012278,-0.14456,6,500,3
FFL,-0.0028232,-0.32821,7,500,3
FFL,-0.0027074,-0.13514,8,500,3
FFL,-0.0017581,-0.1937,9,500,3
FFL,-0.0011449,-0.27529,10,500,3
FFL,-0.00051702,-0.16523,1,500,4
FFL,-0.0105,-0.28798,2,500,4
FFL,-0.0019723,-0.26342,3,500,4
FFL,-0.001293,-0.2462,4,500,4
FFL,-0.00080604,-0.24787,5,500,4
FFL,-0.0045613,-0.26152,6,500,4
FFL,-7.6701E-05,-0.18887,7,500,4
FFL,-0.0033041,-0.14117,8,500,4
FFL,-0.002965,-0.22992,9,500,4
FFL,-0.0060945,-0.2514,10,500,4
FFL,-0.00060531,-0.20848,1,500,5
FFL,-0.0034974,-0.28947,2,500,5
FFL,-0.0021607,-0.17822,3,500,5
FFL,-0.0013535,-0.31408,4,500,5
FFL,-0.0055459,-0.27438,5,500,5
FFL,-0.00028696,-0.33438,6,500,5
FFL,-0.0021891,-0.25115,7,500,5
FFL,-0.0013762,-0.15961,8,500,5
FFL,-0.00077769,-0.18983,9,500,5
FFL,-0.0018052,-0.20087,10,500,5
FFL,-0.00039367,-0.25125,1,500,6
FFL,-0.001287,-0.32016,2,500,6
FFL,-0.0046392,-0.23962,3,500,6
FFL,-0.00011369,-0.26741,4,500,6
FFL,-0.0029678,-0.32099,5,500,6
FFL,-0.00067933,-0.37652,6,500,6
FFL,-0.0013181,-0.22917,7,500,6
FFL,-0.0021322,-0.27801,8,500,6
FFL,-0.0026239,-0.24098,9,500,6
FFL,-0.0018941,-0.22823,10,500,6
FFL,-0.0011882,-0.19852,1,500,7
FFL,-0.0024126,-0.29018,2,500,7
FFL,-0.0015668,-0.19152,3,500,7
FFL,-0.0039685,-0.25965,4,500,7
FFL,-0.0044593,-0.23434,5,500,7
FFL,-0.00027099,-0.32933,6,500,7
FFL,-0.0044263,-0.29232,7,500,7
FFL,-0.0012227,-0.19336,8,500,7
FFL,-0.0031449,-0.21181,9,500,7
FFL,-0.0019719,-0.31938,10,500,7
FFL,-0.00063609,-0.2437,1,500,8
FFL,-0.0053181,-0.2351,2,500,8
FFL,-0.0040658,-0.30349,3,500,8
FFL,-0.002489,-0.21857,4,500,8
FFL,-0.0013029,-0.35938,5,500,8
FFL,-0.0056474,-0.24065,6,500,8
FFL,-0.0032086,-0.26959,7,500,8
FFL,-0.00096303,-0.3915,8,500,8
FFL,-0.0014393,-0.17907,9,500,8
FFL,-0.0023153,-0.27153,10,500,8
FFL,-0.0096726,-0.26673,1,500,9
FFL,-0.0032647,-0.2797,2,500,9
FFL,-0.003287,-0.35951,3,500,9
FFL,-0.0005374,-0.32405,4,500,9
FFL,-0.002308,-0.30063,5,500,9
FFL,-0.0010874,-0.18811,6,500,9
FFL,-5.8766E-05,-0.24943,7,500,9
FFL,-0.0014782,-0.19818,8,500,9
FFL,-0.0032032,-0.31642,9,500,9
FFL,-0.0014145,-0.2947,10,500,9
FFL,-0.0019295,-0.20575,1,500,10
FFL,-0.004073,-0.27875,2,500,10
FFL,-0.00075413,-0.22953,3,500,10
FFL,-0.0019869,-0.35929,4,500,10
FFL,-0.00027606,-0.22696,5,500,10
FFL,-0.0022478,-0.35072,6,500,10
FFL,-0.0011169,-0.26945,7,500,10
FFL,-0.00050424,-0.14528,8,500,10
FFL,-0.001064,-0.23349,9,500,10
FFL,-0.0014029,-0.21819,10,500,10
FFL,-0.0050412,-0.24758,1,750,1
FFL,-0.00024362,-0.26123,2,750,1
FFL,-0.0012207,-0.23239,3,750,1
FFL,-0.0010506,-0.22167,4,750,1
FFL,-0.001137,-0.16481,5,750,1
FFL,-0.00056541,-0.22399,6,750,1
FFL,-0.0014373,-0.15621,7,750,1
FFL,-0.0036766,-0.20361,8,750,1
FFL,-0.001025,-0.31682,9,750,1
FFL,-0.0014076,-0.31328,10,750,1
FFL,-0.0011693,-0.23109,1,750,2
FFL,-0.0037132,-0.23113,2,750,2
FFL,-0.00047497,-0.22752,3,750,2
FFL,-2.5579E-05,-0.20876,4,750,2
FFL,-2.4145E-05,-0.13834,5,750,2
